,formula,ident,sg_num,pearson,gii,gii_softBV
2972,VXe2F17,87615,14,mP80,0.1678713927,
2973,NaGdS2,37332,166,hR4,0.16788936540000002,0.053621999999999996
2974,Ca4IrO6,81902,167,hR22,0.16792391880000002,0.12909
2975,KPb2Cl5,250265,14,mP32,0.1681111048,0.051601999999999995
2976,PrTaO4,415428,14,mP24,0.1681481715,0.098936
2977,K2CoO2,74940,14,mP20,0.16816441070000002,0.347864
2978,Rb2RuCl6,143773,225,cF36,0.16822300440000001,
2979,LiHoS2,44959,166,hR4,0.1682346104,0.154523
2980,NaPO3,15871,14,mP40,0.1682423542,0.215969
2981,TmCoO3,172050,62,oP20,0.16840587840000001,0.211973
2982,Nd3ReO7,96411,63,oC44,0.1684343421,0.213119
2983,Na3GaS3,300161,14,mP28,0.16854583950000002,0.073826
2984,CaMoO3,246082,62,oP20,0.168625157,0.054554
2985,Ag3AsSe3,2426,161,hR14,0.1686283901,0.033583999999999996
2986,BaCr2O4,64677,59,oP28,0.1686925094,0.153585
2987,Pr3MoO7,281197,19,oP44,0.1688188994,0.13941599999999998
2988,CsBi3S5,200794,62,oP36,0.16883784540000002,0.159887
2989,KAs2F7,36332,14,mP40,0.1688876202,0.106916
2990,K2FeF5,72637,55,oP64,0.1688943765,0.038432
2991,Tm2Ti2O7,191614,227,cF88,0.1689172252,0.133332
2992,W3O8,73720,55,oP44,0.1689581025,0.170256
2993,BaTi5O11,26174,14,mP68,0.1689726091,0.102465
2994,NaSbS2,200597,2,aP8,0.16918580430000002,0.052084
2995,Ba(Be10N7)2,130192,87,tI70,0.1692071697,0.613181
2996,Na4MoO5,411635,2,aP40,0.1693339659,0.135794
2997,CsCeF5,190952,14,mP56,0.1693575568,
2998,Sc2Mn2O7,83277,227,cF88,0.1694594178,0.136178
2999,K3MoCl6,22134,14,mP40,0.1695856916,0.057435999999999994
3000,Eu2Mo2O7,173946,227,cF88,0.1696541563,0.17042000000000002
3001,Ti6H2O13,186994,12,mC42,0.16966533350000002,0.156414
3002,CoPtF6,37447,148,hR8,0.16970151490000002,0.137818
3003,Na2Nb4O11,166951,9,mC68,0.1697026599,0.16092
3004,ScCuS2,15298,156,hP4,0.16972804190000002,0.13838599999999998
3005,ZrBrN,25507,164,hP6,0.1697550912,0.42969199999999996
3006,Ca3(CoO3)2,82174,167,hR22,0.1698081491,0.241649
3007,VCl4,250364,14,mP20,0.1698142031,
3008,HoCoO3,172048,62,oP20,0.16991230910000002,0.18762299999999998
3009,Mn(SbS2)2,411178,12,mC28,0.1699275583,0.062418999999999995
3010,Ba2SnO4,84246,139,tI14,0.1700796349,0.206594
3011,Ni2Te3O8,50703,15,mC52,0.17018905080000002,0.071508
3012,CuMoO4,160867,14,mP48,0.1703482324,0.069934
3013,Na2B4O7,2040,2,aP52,0.1704118195,0.12360399999999999
3014,Li4SnS4,290832,62,oP36,0.17041411010000002,0.069288
3015,Ti3O5,75193,12,mC32,0.1704928389,0.152601
3016,MnSnO3,29203,148,hR10,0.1705396788,0.191877
3017,Ag3PS4,416585,31,oP16,0.1705831086,0.150953
3018,Sr2Ta2O7,601,63,oC44,0.1706455242,0.081872
3019,CsV3O8,50010,11,mP24,0.17067141460000002,0.267163
3020,Ta2Cd2O7,27123,227,cF88,0.1707116401,0.1932
3021,WO3,32001,191,hP12,0.17085968740000002,0.130725
3022,Ba(AgS)2,50183,164,hP5,0.1709066638,0.171242
3023,FeCl3,39766,147,hP96,0.17096344360000001,0.091496
3024,Hg2SeO5,412404,14,mP64,0.1710708651,0.086324
3025,BaVSe3,10486,194,hP10,0.1711578269,
3026,CuReO4,416510,110,tI96,0.1711825828,0.104708
3027,SrY2O4,14741,62,oP28,0.1712770691,0.214831
3028,Be3N2,25656,194,hP10,0.1714099118,0.6629229999999999
3029,Nd3NbO7,67737,63,oC44,0.1714368077,0.20651000000000003
3030,V5O9,66584,2,aP28,0.1714371271,0.159929
3031,Ba2FeS3,615850,62,oP24,0.171448125,0.13272399999999998
3032,CaTiF6,4849,225,cF32,0.17147439620000002,0.188189
3033,OsCl4,1165,65,oC10,0.171506548,0.17157699999999998
3034,KV3O8,421064,11,mP24,0.1715310474,0.28616
3035,Ti7Al2O15,202646,12,mC48,0.1715562075,0.204311
3036,CsGa3S5,419821,14,mP36,0.17163835200000002,0.113717
3037,La4Au2O9,74989,60,oP60,0.1716626808,0.167643
3038,CaRhO3,183583,11,mP30,0.1716711394,0.23740599999999998
3039,CsGaCl4,201670,62,oP24,0.1717711565,0.027216999999999998
3040,K3RhCl6,73586,14,mP40,0.1718166816,0.069048
3041,CsSbF6,201886,148,hR8,0.171845773,0.041385
3042,Cr2CuO4,16708,122,tI28,0.1718463889,0.146233
3043,Li3NbO4,30246,197,cI64,0.1718512267,0.123403
3044,ScUS3,2239,63,oC20,0.1719001486,0.086613
3045,Ni2GeO4,69508,227,cF56,0.1719380053,0.10774199999999999
3046,Li2SiF6,425923,150,hP27,0.1719409762,0.052892999999999996
3047,HoCrO4,169873,88,tI24,0.17194346700000002,0.293808
3048,NaNdS2,644913,166,hR4,0.17194825500000002,0.011980999999999999
3049,LaTiO3,98414,62,oP20,0.1719948345,0.082422
3050,CaCoO3,230897,62,oP20,0.1720031944,0.522035
3051,CsSbF4,201405,55,oP48,0.1720637629,0.053571
3052,Cd2P2O7,23542,2,aP22,0.1720869251,0.107489
3053,Cs2Mn3S4,65253,72,oI36,0.1721017443,0.031999
3054,ScAgSe2,155115,164,hP4,0.17211495100000002,
3055,BaFeF4,82765,36,oC24,0.1723072159,0.06399099999999999
3056,Bi2W2O9,88428,33,oP52,0.1723121289,0.165566
3057,KB3O5,423027,15,mC72,0.1723274489,0.07752099999999999
3058,BaSi7P10,34512,1,aP18,0.1724153548,0.387799
3059,CsErS2,73542,166,hR4,0.17242993550000002,0.16297599999999998
3060,Y5(MoO6)2,62215,13,mP38,0.17244553410000002,0.114187
3061,AgC2N3,429835,62,oP24,0.1725413805,
3062,Ba(CuO)2,9456,141,tI20,0.17265125280000002,0.26913899999999996
3063,PAuO4,195287,15,mC24,0.17269146900000001,0.23302299999999998
3064,NaSn2Cl5,79406,58,oP32,0.17276666070000002,0.055110000000000006
3065,Ho5(MoO6)2,196166,13,mP38,0.17282671330000002,0.10222099999999999
3066,RbNi2F6,31781,74,oI36,0.17287295800000002,0.11869
3067,BaCN2,75041,167,hR24,0.17290668950000002,0.196542
3068,MnClO3,416749,36,oC20,0.1729143165,
3069,Li3SbS4,8407,31,oP16,0.1729177703,0.03483
3070,LiAg3O2,4204,72,oI24,0.1730613204,0.236589
3071,Sr2SnS4,413024,40,oC28,0.1731110156,0.10921000000000002
3072,RbCuCl3,15523,5,mC40,0.1731431723,0.128971
3073,Zr(PS3)2,50700,81,tP18,0.17317305,0.223404
3074,Hg2Mo5O16,84641,13,mP46,0.1731903121,0.11619499999999999
3075,Na6Mo10O33,37032,2,aP49,0.1732249751,0.15136000000000002
3076,Ag2TeS3,85135,9,mC24,0.17324654280000001,0.047254
3077,K4Sn3Se8,55299,68,oC60,0.17327410540000002,0.17482799999999998
3078,V4Cd9O19,421347,1,aP64,0.1732779412,0.09755899999999999
3079,LaScO3,237284,62,oP20,0.1732807268,0.135934
3080,LiSbS2,40457,148,hR24,0.1733212139,0.061653
3081,Na2Mo2O7,24312,64,oC88,0.1733308173,0.17998899999999998
3082,Na3TaO4,789,12,mC64,0.1733466559,0.139127
3083,Hg3(SI)2,411154,74,oI56,0.1733537528,0.031854
3084,TiCl3,29035,162,hP8,0.1734335336,0.204178
3085,MgAl2O4,135047,62,oP28,0.17343890550000002,0.141542
3086,K2YF5,1820,62,oP32,0.17344586450000002,0.16797
3087,Nb2O2F3,251694,1,aP28,0.173479506,
3088,CrSbSe3,84866,62,oP20,0.17360656300000002,0.14352399999999998
3089,Yb2MgSe4,198604,227,cF56,0.173675284,0.294921
3090,Cd2P6O17,200743,14,mP50,0.1736806663,0.173777
3091,K2Ge4O9,189270,165,hP90,0.1736897784,0.11813699999999999
3092,Yb2Cu2O5,79432,33,oP36,0.1736939905,0.11319299999999999
3093,Li5AlS4,433369,11,mP20,0.1737037167,0.083489
3094,Ce3MoO7,419443,19,oP44,0.1737398821,0.17402
3095,K4SnSe4,72385,62,oP36,0.1738006255,0.095625
3096,MoF3,26629,167,hR8,0.1738122868,0.030545
3097,CaGe2O5,200614,1,aP16,0.1738576769,0.175421
3098,LiPN2,66007,122,tI16,0.1738773754,0.291327
3099,Ca2Si5N8,79070,9,mC60,0.1738790219,0.26497899999999996
3100,NaNp2F9,24844,62,oP48,0.17388344790000002,
3101,BaCdS2,66655,62,oP16,0.17389676710000002,0.115312
3102,CuMo3Cl7,404375,201,cP88,0.1739170726,0.179829
3103,CsFeS2,25697,71,oI16,0.1739775161,
3104,WSCl4,65823,14,mP48,0.1740071148,
3105,GaCuS2,600510,122,tI16,0.1740654161,0.11687499999999999
3106,V2O5,267175,62,oP28,0.17418006830000002,0.318612
3107,CsCu2F5,33867,14,mP32,0.1742693826,0.064811
3108,P2W2O11,50742,62,oP60,0.1743765478,0.160252
3109,Cs2SiS3,409176,12,mC24,0.17441774070000002,0.14750000000000002
3110,K4WO5,33294,2,aP60,0.1744183711,0.20988199999999999
3111,Na2Zn2O3,404913,96,tP28,0.1744472645,0.206728
3112,Ca2Sb2S5,201044,14,mP36,0.1744607591,0.066731
3113,Ta4PbO11,251950,146,hR32,0.1744729266,0.157464
3114,CsPbF3,30739,221,cP5,0.1744942518,0.169049
3115,FeMoO4,43013,12,mC48,0.1745956152,0.175703
3116,RbIn3S5,59667,10,mP27,0.1747018103,0.124234
3117,Nd2WO6,20934,19,oP36,0.1747055691,0.201819
3118,LiInO2,40665,141,tI16,0.1747891573,0.14893499999999998
3119,K6Pb2O5,74873,2,aP26,0.1749402387,0.285427
3120,KDyS2,244225,166,hR4,0.1751055216,0.181301
3121,KBiSe2,143477,166,hR4,0.1751469326,0.130045
3122,NaPO3,34693,14,mP40,0.175151681,0.120892
3123,Li2ZrO3,291154,15,mC24,0.17521168850000002,0.15102000000000002
3124,Li4TiO4,75164,63,oC36,0.1752425028,0.25423
3125,BaRuO3,84652,194,hP20,0.1752812387,0.149927
